SOURCE,type,trt_functional,order,replicates,insect_dens,insect_densSE,damagescore,damagescore_SE,application,app_SE,rate,cost,yield1,yield1_SE,yield2,yield2_SE,disease,dis_rating,disrating_SE,beneficial insect,beneficial insect value,beneficial insect_SE,,,,,,,,,,,,,,,
2,specialty,standard,thysanoptera,5,0.6,0.2,6.266666667,.,6,.,.,.,40.52,.,.,.,Iris yellow spot disease,2.39,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,threshold,thysanoptera,5,0.8,0.1,.,.,3.7,.,.,.,48.19,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,threshold,thysanoptera,5,0.9,0.1,.,.,4,.,.,.,42.25,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,threshold,thysanoptera,5,1.3,0.2,.,.,4.7,.,.,.,34.73,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,threshold,thysanoptera,5,1.3,0.3,20,.,3,.,.,.,56.8,.,.,.,Iris yellow spot disease,2.92,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,threshold,thysanoptera,5,0.9,0.3,23.1,.,3.7,.,.,.,54.28,.,.,.,Iris yellow spot disease,2.99,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,threshold,thysanoptera,5,1.9,0.5,38.26666667,.,3.3,.,.,.,44.79,.,.,.,Iris yellow spot disease,2.76,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,control,lepidoptera,4,.,.,4.9,.,0,.,0,.,.,.,0,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,control,lepidoptera,4,.,.,5.8,.,0,.,0,.,.,.,0,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,control,lepidoptera,4,.,.,4.7,.,0,.,0,.,.,.,2.4,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,1.1,.,12,.,0.112,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,1,.,12,.,0.056,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,1.5,.,5,.,0.112,.,.,.,97,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,1.6,.,12,.,0.056,.,.,.,95,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,1.2,.,12,.,0.112,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,2.2,.,12,.,1.12,.,.,.,82.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,2.1,.,12,.,0.56+1.12,.,.,.,75,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,2.2,.,12,.,1.02,.,.,.,82.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,2.4,.,5,.,0.056,.,.,.,86.7,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,2.3,.,5,.,1.12,.,.,.,90.7,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,2.6,.,5,.,0.56+1.12,.,.,.,86.3,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,2.6,.,12,.,1.12,.,.,.,85,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,2.5,.,12,.,0.56+1.12,.,.,.,87.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,2.7,.,12,.,1.02,.,.,.,67.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,standard,lepidoptera,4,.,.,3,.,5,.,1.02,.,.,.,65,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,2.1,.,7.2,.,0.112,.,.,.,77.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,2.3,.,3.3,.,0.112,.,.,.,85.4,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,2.4,.,10.5,.,1.12,.,.,.,72.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,2.5,.,9,.,0.056,.,.,.,67.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,2.8,.,5.5,.,0.112,.,.,.,72.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,2.9,.,4,.,0.056,.,.,.,80,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,2.9,.,3.2,.,0.056,.,.,.,67,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,3.1,.,7,.,1.12,.,.,.,77.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,3,.,7.8,.,0.56+1.13,.,.,.,75,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,2.5,.,8.2,.,0.56+1.13,.,.,.,72.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,3.3,.,9,.,1.02,.,.,.,40,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,3.1,.,3.5,.,0.56+1.13,.,.,.,61.3,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,3.3,.,3.7,.,1.12,.,.,.,56.2,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,3.3,.,4,.,1.02,.,.,.,44.2,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
3,specialty,threshold,lepidoptera,4,.,.,3.7,.,6.5,.,1.02,.,.,.,42.5,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,control,thysanoptera,4,2.2,0.3,14.6,2.7,0,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,control,thysanoptera,4,2.6,0.2,35.5,3.1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,control,thysanoptera,4,5.1,0.9,16.6,5.4,0,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,control,thysanoptera,4,4,1,59.8,13,0,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,control,thysanoptera,4,6.6,0.3,.,.,0,.,.,.,149.85,8.23,78.6,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,control,thysanoptera,4,6.6,1.1,.,.,0,.,.,.,128.55,11.72,54.35,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,standard,thysanoptera,4,1.3,0.5,4.5,0.0001,8,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,standard,thysanoptera,4,1.2,0.1,3.8,0.8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,standard,thysanoptera,4,0.7,0.1,1.4,0.8,6,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,standard,thysanoptera,4,0.8,0.1,8.6,2.8,5,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,standard,thysanoptera,4,0.3,0.1,.,.,8,.,.,.,145.6,20.34,77.69,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,standard,thysanoptera,4,0.6,0.1,.,.,8,.,.,.,140.82,10.56,63.07,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,threshold,thysanoptera,4,1.8,0.2,4.5,0.001,5,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,threshold,thysanoptera,4,0.7,0.1,3.4,0.7,3,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,threshold,thysanoptera,4,0.9,0.1,9.3,2.4,3,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,threshold,thysanoptera,4,1.4,0.5,8.4,2.5,7,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,threshold,thysanoptera,4,1.2,0.1,.,.,4,.,.,.,153.1,19.2,73.84,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
4,specialty,threshold,thysanoptera,4,2.4,0.3,.,.,4,.,.,.,139.53,10.47,61.79,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,control,lepidoptera,4,.,.,1.1,.,0,.,0.11,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,control,lepidoptera,4,.,.,2,.,0,.,0.11,.,.,.,95,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,control,lepidoptera,4,.,.,1.8,.,0,.,0.11,.,.,.,92,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,control,lepidoptera,4,.,.,3.3,.,0,.,0.11,.,.,.,52,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,control,lepidoptera,4,.,.,2.3,.,0,.,0.11,.,.,.,98,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,control,lepidoptera,4,.,.,4.1,.,0,.,0.11,.,.,.,12,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,control,lepidoptera,4,.,.,6,.,0,.,0.11,.,.,.,0,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,control,lepidoptera,4,.,.,6,.,0,.,0.11,.,.,.,0,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,standard,lepidoptera,4,.,.,1,.,16,.,0.11,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,standard,lepidoptera,4,.,.,1,.,16,.,0.11,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,standard,lepidoptera,4,.,.,1.03,.,19,.,0.11,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,standard,lepidoptera,4,.,.,1.03,.,19,.,0.11,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,standard,lepidoptera,4,.,.,1.3,.,6,.,0.11,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,standard,lepidoptera,4,.,.,1.4,.,6,.,0.11,.,.,.,98,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,standard,lepidoptera,4,.,.,1.8,.,24,.,0.11,.,.,.,98,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,standard,lepidoptera,4,.,.,1.8,.,24,.,0.11,.,.,.,98,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,threshold,lepidoptera,4,.,.,1.1,.,12,.,0.11,.,.,.,98,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,threshold,lepidoptera,4,.,.,1.4,.,2,.,0.11,.,.,.,95,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,threshold,lepidoptera,4,.,.,1.3,.,3.2,.,0.11,.,.,.,98,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,threshold,lepidoptera,4,.,.,1.5,.,16.5,.,0.11,.,.,.,98,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,threshold,lepidoptera,4,.,.,2,.,21,.,0.11,.,.,.,88,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,threshold,lepidoptera,4,.,.,1.5,.,4,.,0.11,.,.,.,95,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,threshold,lepidoptera,4,.,.,2.4,.,18,.,0.11,.,.,.,82,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
5,specialty,threshold,lepidoptera,4,.,.,2.3,.,7.2,.,0.11,.,.,.,98,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
6,specialty,control,lepidoptera,4,0.95,.,54.7,.,0,.,0.05-0.10,.,.,.,3,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
6,specialty,control,lepidoptera,4,0.39,.,93.5,.,0,.,0.05-0.10,.,.,.,76,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
6,specialty,control,lepidoptera,4,1.2,.,60.4,.,0,.,0.05-0.10,.,.,.,1,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
6,specialty,standard,lepidoptera,4,0.46,.,52.6,.,2,.,0.05-0.10,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
6,specialty,standard,lepidoptera,4,0.17,.,90.4,.,4,.,0.05-0.10,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
6,specialty,standard,lepidoptera,4,0.18,.,33.7,.,4,.,0.05-0.10,.,.,.,100,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
6,specialty,threshold,lepidoptera,4,0.46,.,68.4,.,2,.,0.05-0.10,.,.,.,90,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
6,specialty,threshold,lepidoptera,4,0.18,.,25.4,.,2,.,0.05-0.10,.,.,.,97,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
6,specialty,threshold,lepidoptera,4,0.17,.,65,.,1,.,0.05-0.10,.,.,.,96,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
7,specialty,control,lepidoptera,4,0.322,0.07,.,.,0,.,???,.,1052.6,310,9,3.5,.,.,.,.,.,.,,,,,,,,,,,,,,,
7,specialty,control,lepidoptera,3,0.311,0.09,.,.,0,.,???,.,1268.9,71.6,56.7,12.5,.,.,.,.,.,.,,,,,,,,,,,,,,,
7,specialty,control,lepidoptera,4,0.963,1.28,.,.,0,.,???,.,987.2,239.1,35,17.3,.,.,.,.,.,.,,,,,,,,,,,,,,,
7,specialty,standard,lepidoptera,4,0.104,0.02,.,.,3,.,???,.,1052.6,310,78,11.5,.,.,.,.,.,.,,,,,,,,,,,,,,,
7,specialty,standard,lepidoptera,4,0.03,0.02,.,.,6,.,???,.,1233.4,320,98,1.7,.,.,.,.,.,.,,,,,,,,,,,,,,,
7,specialty,standard,lepidoptera,4,0.024,0.04,.,.,5,.,???,193.7,1140.7,211.7,100,0,.,.,.,.,.,.,,,,,,,,,,,,,,,
7,specialty,standard,lepidoptera,4,0.054,0.1,.,.,4,.,???,154.96,1289.8,335,100,0,.,.,.,.,.,.,,,,,,,,,,,,,,,
7,specialty,threshold,lepidoptera,4,0.052,0.02,.,.,3,.,???,.,1097.2,84.1,91.3,5.1,.,.,.,.,.,.,,,,,,,,,,,,,,,
7,specialty,threshold,lepidoptera,4,0.065,0.09,.,.,2,.,???,77.48,1186.2,103.7,100,0,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,control,lepidoptera,6,.,.,11.3,.,0,.,0.034 kg a.i. ha1,0,248808,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,control,lepidoptera,6,.,.,20.2,.,0,.,0.034 kg a.i. ha1,0,96918,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,control,lepidoptera,6,.,.,21.5,.,0,.,"Spinosad at 0.011 kg a.i. ha1, imidacloprid  0.051 kg a.i. ha1",0,66423,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,control,lepidoptera,6,.,.,14.8,.,0,.,"Spinosad at 0.011 kg a.i. ha1, imidacloprid  0.051 kg a.i. ha1",0,248805,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,standard,lepidoptera,6,.,.,2.1,.,10,.,0.034 kg a.i. ha1,502,"386,695",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,standard,lepidoptera,6,.,.,2.5,.,9,.,"Spinosad at 0.011 kg a.i. ha1, imidacloprid  0.051 kg a.i. ha1",872.28,355758,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,standard,lepidoptera,6,.,.,6.9,.,6,.,0.034 kg a.i. ha1,301.2,146582,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,standard,lepidoptera,6,.,.,3.5,.,6,.,"Spinosad at 0.011 kg a.i. ha1, imidacloprid  0.051 kg a.i. ha1",581.52,132998,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,threshold,lepidoptera,6,.,.,3.9,.,3,.,0.034 kg a.i. ha1,150.6,"355,185",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,threshold,lepidoptera,6,.,.,2.9,.,5,.,"Spinosad at 0.011 kg a.i. ha1, imidacloprid  0.051 kg a.i. ha1",484.6,"293,803",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,threshold,lepidoptera,6,.,.,4.3,.,4,.,0.034 kg a.i. ha1,200.8,"154,350",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
8,specialty,threshold,lepidoptera,6,.,.,2.8,.,3,.,"Spinosad at 0.011 kg a.i. ha1, imidacloprid  0.051 kg a.i. ha1",290.76,"124,133",.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,20,8,3.3,.,0,.,0.1 kg (AI)/ha ,.,20,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,30,10,3.5,.,0,.,0.091kg (AI)/ha. ,.,17.9,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,82,8.5,4.1,.,0,.,0.1 kg (AI)/ha ,.,12.8,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,75,8.7,4.2,.,0,.,0.091kg (AI)/ha. ,.,13.3,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,15,5,3.3,.,0,.,0.1 kg (AI)/ha ,.,20,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,23,8,3.5,.,0,.,0.091kg (AI)/ha. ,.,17.9,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,42,13,4.2,.,0,.,0.091kg (AI)/ha. ,.,13.3,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,55,13.2,4.1,.,0,.,0.1 kg (AI)/ha ,.,12.8,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,65,3,3.5,.,0,.,0.091kg (AI)/ha. ,.,17.9,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,30,9,3.3,.,0,.,0.1 kg (AI)/ha ,.,20,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,15,6,4.1,.,0,.,0.1 kg (AI)/ha ,.,12.8,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,control,lepidoptera,4,12,7.5,4.2,.,0,.,0.091kg (AI)/ha. ,.,13.3,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1.1,.,6,.,0.091kg (AI)/ha. ,.,16.6,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1,.,5,.,0.091kg (AI)/ha. ,.,15.4,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1.2,.,5,.,0.1 kg (AI)/ha ,.,15.7,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1.2,.,6,.,0.1 kg (AI)/ha ,.,15.4,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1.1,.,6,.,0.091kg (AI)/ha. ,.,16.6,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,2,2,1,.,5,.,0.091kg (AI)/ha. ,.,15.4,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1.2,.,5,.,0.1 kg (AI)/ha ,.,15.7,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1.2,.,6,.,0.1 kg (AI)/ha ,.,15.4,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1,.,5,.,0.091kg (AI)/ha. ,.,15.4,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,3,3,1.1,.,6,.,0.091kg (AI)/ha. ,.,16.6,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1.2,.,5,.,0.1 kg (AI)/ha ,.,15.7,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,standard,lepidoptera,4,.,.,1.2,.,6,.,0.1 kg (AI)/ha ,.,15.4,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,.,.,1.1,.,3,.,0.091kg (AI)/ha. ,.,17.8,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,.,.,1.2,.,4,.,0.1 kg (AI)/ha ,.,18.4,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,.,.,1.4,.,3,.,0.1 kg (AI)/ha ,.,13.9,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,.,.,1.5,.,1,.,0.091kg (AI)/ha. ,.,12.7,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,10,4,1.1,.,3,.,0.091kg (AI)/ha. ,.,17.8,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,30,11,1.2,.,4,.,0.1 kg (AI)/ha ,.,18.4,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,5,5,1.4,.,3,.,0.1 kg (AI)/ha ,.,13.9,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,.,.,1.5,.,1,.,0.091kg (AI)/ha. ,.,12.7,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,.,.,1.1,.,3,.,0.091kg (AI)/ha. ,.,17.8,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,.,.,1.2,.,4,.,0.1 kg (AI)/ha ,.,18.4,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,.,.,1.4,.,3,.,0.1 kg (AI)/ha ,.,13.9,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
9,specialty,threshold,lepidoptera,4,2.5,2,1.5,.,1,.,0.091kg (AI)/ha. ,.,12.7,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
10,field,control,hemiptera,4,6.15,0.88,5.83,0.91,0,.,.,.,1123.48,65.8,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
10,field,control,hemiptera,4,10.4,1,9.83,1.29,0,.,.,.,558.72,58.42,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
10,field,standard,hemiptera,4,0.95,0.16,2.27,0.5,9,.,.,.,1540.26,86.16,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
